diputado_id,nombre,comite,img_url,fecha_namcimiento,profesion,region,distrito,partido
940,María José Hoffmann Opazo,Unión Demócrata Independiente,/img.aspx?prmid=g940,28 de diciembre de 1976,Licenciada en Ciencias Políticas,V,15,UDI
941,Luis Lemus Aracena,Partido Socialista,/img.aspx?prmid=g941,23 de diciembre de 1961,Profesor de Estado,IV,9,PS
942,Javier Macaya Danús,Unión Demócrata Independiente,/img.aspx?prmid=g942,11 de noviembre de 1978,Abogado,VI,34,UDI
944,Andrea Molina Oliva,Unión Demócrata Independiente,/img.aspx?prmid=g944,28 de marzo de 1970,,V,10,UDI
945,Celso Morales Muñoz,Unión Demócrata Independiente,/img.aspx?prmid=g945,10 de julio de 1957,Profesor de Educación Básica en la Pontificia Universidad Católica de Chile,VII,36,UDI
946,Leopoldo Pérez Lahsen,Renovación Nacional,/img.aspx?prmid=g946,28 de marzo de 1957,"Administrador Público, Universidad de Chile, 1985",RM,29,RN
947,Ricardo Rincón González,Partido Demócrata Cristiano,/img.aspx?prmid=g947,22 de marzo de 1966,Abogado,VI,33,DC
948,Gaspar Rivas Sánchez,Mixto e Independientes,/img.aspx?prmid=g948,17 de mayo de 1978,Abogado,V,11,IND
949,Marcela Sabat Fernández,Renovación Nacional,/img.aspx?prmid=g949,4 de abril de 1981,,RM,21,RN
950,René Saffirio Espinoza,Mixto e Independientes,/img.aspx?prmid=g950,9 de octubre de 1955,Abogado,IX,50,IND
951,David Sandoval Plaza,Unión Demócrata Independiente,/img.aspx?prmid=g951,20 de octubre de 1952,Geógrafo y Contador,XI,59,UDI
952,Alejandro Santana Tirachini,Renovación Nacional,/img.aspx?prmid=g952,18 de julio de 1965,"Contador auditor, Ingeniero comercial",X,58,RN
954,Ernesto Silva Méndez,Unión Demócrata Independiente,/img.aspx?prmid=g954,15 de agosto de 1975,Abogado,RM,23,UDI
955,Arturo Squella Ovalle,Unión Demócrata Independiente,/img.aspx?prmid=g955,25 de septiembre de 1978,Abogado,V,12,UDI
956,Guillermo Teillier Del Valle,Partido Comunista - Izquierda Ciudadana,/img.aspx?prmid=g956,29 de octubre de 1943,Profesor de Castellano,RM,28,PC
957,Víctor Torres Jeldes,Partido Demócrata Cristiano,/img.aspx?prmid=g957,11 de octubre de 1975,Médico-cirujano,V,15,DC
958,Joaquín Tuma Zedan,Partido Por la Democracia,/img.aspx?prmid=g958,9 de julio de 1941,Abogado,IX,51,PPD
959,Enrique Van Rysselberghe Herrera,Unión Demócrata Independiente,/img.aspx?prmid=g959,17 de septiembre de 1976,Ingeniero Comercial,VIII,44,UDI
963,Matías Walker Prieto,Partido Demócrata Cristiano,/img.aspx?prmid=g963,19 de julio de 1973,Abogado,IV,8,DC
967,Issa Kort Garriga,Unión Demócrata Independiente,/img.aspx?prmid=g967,9 de mayo de 1980,Historiador,VI,32,UDI
968,Jenny Alvarez Vera,Partido Socialista,/img.aspx?prmid=g968,30 de marzo de 1974,Administradora Bancaria y Contadora,X,58,PS
969,Claudio Arriagada Macaya,Partido Demócrata Cristiano,/img.aspx?prmid=g969,22 de octubre de 1955,Comerciante,RM,25,DC
970,Jaime Bellolio Avaria,Unión Demócrata Independiente,/img.aspx?prmid=g970,29 de noviembre de 1980,Ingeniero Comercial,RM,30,UDI
971,Bernardo Berger Fett,Renovación Nacional,/img.aspx?prmid=g971,4 de octubre de 1946,Administrador de Empresas,XIV,53,RN
972,Gabriel Boric Font,Mixto e Independientes,/img.aspx?prmid=g972,11 de febrero de 1986,Egresado de derecho,XII,60,IND
973,Karol Cariola Oliva,Partido Comunista - Izquierda Ciudadana,/img.aspx?prmid=g973,1 de abril de 1987,Matrona,RM,19,PC
974,Loreto Carvajal Ambiado,Partido Por la Democracia,/img.aspx?prmid=g974,18 de mayo de 1973,,VIII,42,PPD
975,Daniella Cicardini Milla,Partido Socialista,/img.aspx?prmid=g975,31 de diciembre de 1987,Bióloga Marina,III,5,PS
976,Juan Antonio Coloma Alamos,Unión Demócrata Independiente,/img.aspx?prmid=g976,14 de marzo de 1980,Abogado,RM,31,UDI
977,Marcelo Chávez Velásquez,Partido Demócrata Cristiano,/img.aspx?prmid=g977,19 de febrero de 1975,Licenciado en Derecho,VIII,45,DC
