stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PC107,PC107,Av. Colón / Av. Manquehue Sur,-33.4164923038,-70.5651694693,
PG833,PG833,Gral. Arriagada / La Serena,-33.560595084,-70.6143603708,
PH162,PH162,Pintor Cicarelli / Carmen,-33.4763508976,-70.6345830181,
PD1092,PD1092,Arboretum Sur / Álvaro Casanova,-33.4741608318,-70.5245484434,
PD1093,PD1093,Las Vertientes / Álvaro Casanova,-33.4699122,-70.5236650382,
PH796,PH796,Balmaceda / Gabriela Mistral,-33.5293910556,-70.7012312389,
PD1096,PD1096,Av. Las Perdices / Av. José Arrieta,-33.4657701746,-70.5296496858,
PD1097,PD1097,Limarí / Sánchez Fontecilla,-33.4612543857,-70.5516256567,
PD1094,PD1094,Álvaro Casanova / Av. José Arrieta,-33.4672851449,-70.5245071148,
PD1095,PD1095,C. De La Montaña / Av. José Arrieta,-33.4664964725,-70.5271523913,
PD1098,PD1098,El Molle / Limarí,-33.459018676,-70.5515357899,
PD1099,PD1099,Talinay / Limarí,-33.4580273534,-70.5511698528,
PF917,PF917,Santa Elena / Dr. Eduardo Cordero,-33.6055169343,-70.5736195047,
PF916,PF916,Tomé / Domingo Tocornal,-33.6009276593,-70.5584202124,
PB1641,PB1641,José M. Balmaceda / Caupolicán,-33.4030382415,-70.7015439361,
PF913,PF913,Estero Baños M. / Río Coya,-33.6138210407,-70.6231520077,
PB1640,PB1640,Av. Vespucio / Calle 2,-33.3909918875,-70.7645105039,
PB1643,PB1643,Hercules / Némesis,-33.408957477,-70.7452032987,
PG918,PG918,Alfonso Donoso / Barros Arana,-33.6066168766,-70.7029782845,
PG919,PG919,1 De Mayo / Barros Arana,-33.6045947752,-70.7022648435,
PG916,PG916,E. Madrid Osorio / Barros Arana,-33.6098943624,-70.7045750175,
PG917,PG917,Eucaliptus / Barros Arana,-33.6086134201,-70.7037136753,
PG914,PG914,El Topacio / Gral. Urrutia,-33.6169842043,-70.7030015763,
PB1644,PB1644,Miraflores / Av. Vicuña Mackenna,-33.402650717,-70.7455445484,
PC857,PC857,Gino Girardi / Camino El Huinganal,-33.3429253306,-70.5106399536,
PF834,PF834,Ancud / Curaco De Vélez,-33.6253714543,-70.6260907557,
PC856,PC856,Camino Del Pregón / Camino El Huinganal,-33.3454830716,-70.5093077487,
PC855,PC855,Camino Colonial / Camino El Huinganal,-33.3475604677,-70.5102681567,
PC854,PC854,El Rodeo / Padre Alfredo Arteaga,-33.3517284842,-70.5101074864,
PD1116,PD1116,Parada 2 / (M) Príncipe De Gales,-33.4399570099,-70.5727569309,
PH801,PH801,Pedro Prado / Gabriela Mistral,-33.5274721032,-70.7003450644,
PJ84,PJ84,Parada 2 / (M) Pudahuel,-33.4449702599,-70.7404379454,
PH800,PH800,Lucila Godoy / Clotario Blest,-33.5137077624,-70.6854009268,
PI1178,PI1178,Parada 6 / (M) U. De Santiago,-33.4527988948,-70.684757906,
PG978,PG978,Bulnes / Eucaliptus,-33.6076495009,-70.7061596212,
PF839,PF839,Pasaje 14 / Dr. Eduardo Cordero,-33.6042679442,-70.5624062853,
PH803,PH803,Centenario / Ferrari,-33.5330070101,-70.6960590468,
PI1179,PI1179,Terminal San Borja,-33.454064315,-70.6805866979,
PA96,PA96,Parada 3 / Hosp. San Borja Arriarán,-33.4606986146,-70.6450484913,
PC850,PC850,El Rincón / Av. La Dehesa,-33.3404326312,-70.5209861444,
PB506,PB506,Mall Plaza Norte,-33.3681189649,-70.6791384332,
PD469,PD469,Sánchez Fontecilla Alt. 13000,-33.4954273542,-70.5586814505,
PI988,PI988,Camino A Lonquén / Santa Marta,-33.5415517733,-70.7413143741,
PD467,PD467,Hamburgo / Av. Tobalaba,-33.4362134158,-70.5779218578,
PI986,PI986,Cerro Sombrero / Camino A Lonquén,-33.5365689132,-70.7369609651,
PI985,PI985,Los Yacimientos / Camino A Lonquén,-33.5313930046,-70.7326904648,
PI984,PI984,Camino Lonquén / Av. Lo Espejo,-33.5239685712,-70.7260017256,
PI983,PI983,Viña Canepa,-33.5262101117,-70.7198884541,
PI982,PI982,Av. Lo Espejo / Av. Aeropuerto,-33.5265932178,-70.7184060547,
PI981,PI981,Vista Clara / Av. Aeropuerto,-33.5233468796,-70.7166658495,
PI980,PI980,Parada 4 / Portal Maipú,-33.5107812188,-70.7403487941,
PC530,PC530,Toledo / Martín De Zamora,-33.4239626101,-70.5892385694,
PB505,PB505,Pasarela Albany,-33.3665418867,-70.6855158762,
PC531,PC531,Alcántara / Martín De Zamora,-33.4234025401,-70.5867193616,
PA97,PA97,Parada 3 / Victoria - San Francisco,-33.4642143197,-70.6446449289,
PB502,PB502,Parada 1 / Zañartu - Manuel A. Matta,-33.3659770458,-70.7076981259,
PF955,PF955,Cerro Paranal / Av. Paseo Pie Andino,-33.5947519816,-70.5545219405,
PH304,PH304,Buenaventura / Clotario Blest,-33.5085907485,-70.6840855524,
PG751,PG751,Industria / Enrique Madrid Osorio,-33.6109979812,-70.70218498,
PI1170,PI1170,Alberto Spikin / Logroño,-33.4709959968,-70.6856086862,
PC533,PC533,Cesar Cascabel / Martín De Zamora,-33.4223105101,-70.5815011931,
PB500,PB500,Parada 3 / Las Parcelas - Manuel A. Matta,-33.3666378824,-70.712843662,
PI1171,PI1171,Gabriela Mistral / Obispo Manuel Umaña,-33.4708836067,-70.6845891026,
PC534,PC534,Martín De Zamora / Martín De Zamora,-33.4216945483,-70.5795413856,
PB501,PB501,Parada 1 / El Parque - Manuel A. Matta,-33.3661944233,-70.7105834681,
PC535,PC535,San Pascual / Martín De Zamora,-33.4188651493,-70.5771716187,
PC536,PC536,Sebastián Elcano / Martín De Zamora,-33.4172553679,-70.5728675302,
PF954,PF954,Cerro Paranal / Av. Paseo Pie Andino,-33.5944737081,-70.5544694247,
PC537,PC537,Domingo Bondi / Martín De Zamora,-33.4161478901,-70.5691378613,
PI336,PI336,Las Dunas / Judea,-33.5433986165,-70.7646685893,
PF537,PF537,Sgto. Menadier / Óscar Bonilla,-33.6188307793,-70.593270907,
PF536,PF536,Hno. Domingo / Óscar Bonilla,-33.6165596732,-70.5938714129,
PB1566,PB1566,Av. Einstein / El Guanaco,-33.4024909691,-70.6578700301,
PB1567,PB1567,Calle G / El Guanaco,-33.3773229792,-70.6571509969,
PB1560,PB1560,Av. Del Cóndor / Av. Del Parque,-33.3890415476,-70.616497654,
PF532,PF532,La Lechería / Av. Juanita,-33.6255045512,-70.612235634,
PF531,PF531,Colegio Almenar Del Maipo,-33.5982649084,-70.5158370321,
PF530,PF530,Mampato Las Vizcachas,-33.5983471363,-70.5200936446,
PI330,PI330,Nuvia / Egipto,-33.5425864232,-70.7778435041,
PB1568,PB1568,Muñoz Gamero / El Guanaco,-33.4008415733,-70.6580416937,
PB1569,PB1569,Yungay / Angol,-33.3974510198,-70.7267490358,
PF539,PF539,Punta Damas / Valle Central,-33.6221659474,-70.596613044,
PH758,PH758,Ing. Budge / Benozzo Gozzoli,-33.497402361,-70.6300627543,
PG832,PG832,San Miguel / La Serena,-33.5620541566,-70.6127537394,
PB720,PB720,Juan Cristóbal / Av. Zapadores,-33.3875631892,-70.6505478985,
PF957,PF957,Cesfam San Alberto Hurtado,-33.5962936879,-70.556512302,
PG835,PG835,Santo Tomás / La Serena,-33.5570072877,-70.6159229894,
PB721,PB721,José M. Carrera / Av. Zapadores,-33.3881360479,-70.6486678433,
PG834,PG834,Otelo / La Serena,-33.5593138654,-70.6152526555,
PE846,PE846,Parada 3 / (M) San José De La Estrella,-33.5530658485,-70.5868808587,
PE847,PE847,Parada 3 / Paradero 24 Vicuña Mackenna,-33.5570452377,-70.5861693739,
PE845,PE845,Parada 3 / Paradero 22 Vicuña Mackenna,-33.5500101719,-70.5873757863,
PG837,PG837,Javiera Carrera / Venancia Leiva,-33.5576929917,-70.6352678568,
PE840,PE840,Los Cerezos / Diagonal Los Castaños,-33.5136923699,-70.5765856507,
PE841,PE841,Los Cerezos / Diagonal Los Castaños,-33.5132261316,-70.576910938,
PG836,PG836,Lautaro / Venancia Leiva,-33.5578885852,-70.6339370729,
PH757,PH757,Av. Pdte. Allende / M. De Toro Y Zambrano,-33.4954425886,-70.6337271072,
PE848,PE848,Parada 3 / (M) Los Quillayes,-33.5605583014,-70.58556963,
PE849,PE849,Parada 3 / Paradero 26 Vicuña Mackenna,-33.5634262109,-70.5850463865,
PH690,PH690,Huasco / Lucila Godoy,-33.515543074,-70.6804009169,
PH756,PH756,Emb. Noel / M. De Toro Y Zambrano,-33.4934931254,-70.6336105125,
PD218,PD218,Dublé Almeyda / Av. Vespucio,-33.4606313153,-70.5726836087,
PI339,PI339,Parada 3 / Concón,-33.4552539871,-70.6959548292,
PB728,PB728,Santa Ana / Av. Zapadores,-33.3938816567,-70.6325773326,
PB729,PB729,San José / Av. Zapadores,-33.3951921687,-70.6298981081,
PH691,PH691,Av. Pdte. Allende / Huasco,-33.5176161665,-70.6813236323,
PC118,PC118,Bocaccio / Av. Padre Hurtado,-33.4007194539,-70.5445349273,
PC119,PC119,Edimburgo / Av. Padre Hurtado,-33.4024553191,-70.544434684,
PC116,PC116,G. Fuenzalida / Av. Las Condes,-33.3920843136,-70.543050302,
PC117,PC117,El Alamein / Av. Padre Hurtado,-33.3963342702,-70.544472062,
PC114,PC114,Parada 10 / (M) Escuela Militar,-33.4143612633,-70.5848337464,
PC115,PC115,Parr. Santa María / Av. Las Condes,-33.3875894043,-70.5390340223,
PC112,PC112,Sebastián Elcano / Av. Bilbao,-33.4309847316,-70.5693443088,
PC110,PC110,Latadía / Av. Manquehue Sur,-33.4271178181,-70.5641904309,
PC111,PC111,Av. Bilbao / Av. Manquehue Sur,-33.4306316677,-70.5651409358,
PE566,PE566,Perú / José Miguel Carrera,-33.5499469551,-70.5827697971,
PJ86,PJ86,Puerto Rico / Av. Teniente Cruz,-33.438188781,-70.7406667097,
PJ118,PJ118,Parada 1 / Consultorio Pudahuel Poniente,-33.4421763309,-70.7645168881,
PB99,PB99,Selinonte / Av. Vicuña Mackenna,-33.4073561571,-70.7459317947,
PC1042,PC1042,Basel (Norte) / Av. Paseo Pie Andino,-33.3268280065,-70.5139984997,
PC1043,PC1043,Berna / Av. Paseo Pie Andino,-33.3265049696,-70.5177217243,
PC1040,PC1040,P. De La Aguada / Av. José Alcalde Délano,-33.3634249071,-70.5443962644,
PC1041,PC1041,Cam. A Farellones / Av. Las Condes,-33.3670346131,-70.4990502198,
PC1046,PC1046,Totoralillo / Alejandro Fleming,-33.4237486709,-70.534408397,
PC1047,PC1047,Cerro San Ramón / Camino El Alba,-33.4005638622,-70.5134596192,
PJ79,PJ79,Parada 1 / Oceanía - Laguna Sur,-33.4594256618,-70.7563902453,
PJ78,PJ78,Consultorio Dr. Gustavo Molina,-33.4585560328,-70.7609675856,
PJ77,PJ77,Lebreles / Av. Laguna Sur,-33.4589783563,-70.7641059898,
PJ76,PJ76,Av. Vespucio / Av. Los Mares,-33.4634210351,-70.762867215,
PJ75,PJ75,Av. Los Mares / Oceanía,-33.4645944361,-70.7574336118,
PJ74,PJ74,Mira / Oceanía,-33.4617753775,-70.7567164148,
PJ73,PJ73,Parada 2 / Oceanía - Laguna Sur,-33.4592871076,-70.7558900654,
PJ72,PJ72,Parada 3 / (M) Barrancas,-33.4518725409,-70.7391706347,
PJ71,PJ71,Corona Sueca / Av. Teniente Cruz,-33.4498541111,-70.7393379604,
PJ70,PJ70,26ª Comisaría,-33.4477696401,-70.7395072965,
PJ415,PJ415,Milán / Av. José Joaquín Pérez,-33.4293985618,-70.7351851681,
PJ141,PJ141,Bismarck / Martínez De Rozas,-33.4355213006,-70.6956406771,
PG729,PG729,Frida Khalo / Av. Portales,-33.6290832144,-70.7034250005,
PG728,PG728,Molymet / Av. Portales,-33.6323843608,-70.7047559593,
PB539,PB539,Pdte. Bulnes / Av. Lo Marcoleta,-33.3597233066,-70.7431233737,
PB538,PB538,San Enrique / Av. Lo Marcoleta,-33.3604176463,-70.7453995199,
PG721,PG721,Ensenada / Camino Los Morros,-33.6391193158,-70.6804905957,
PG720,PG720,Los Reales / Camino Los Morros,-33.639368062,-70.6776997947,
PG723,PG723,Fundo La Marina / Camino Los Morros,-33.6394330177,-70.6876091153,
PG722,PG722,Parronales / Camino Los Morros,-33.6390902649,-70.6854396751,
PB537,PB537,Volcán Copahue / Av. Lo Marcoleta,-33.3609867661,-70.7483163945,
PB536,PB536,Volcán D'Arguelle / Av. Lo Marcoleta,-33.3616155228,-70.7517441178,
PG727,PG727,G. De La Huerta / Av. Portales,-33.6347637503,-70.7063889275,
PG726,PG726,Parada 4 / Estación Nos,-33.6375911005,-70.7072532954,
PI341,PI341,Parada 1 / (M) U. De Santiago,-33.4530294052,-70.6865811644,
PI340,PI340,Parada 3 / (M) A. Hurtado,-33.4538877436,-70.6898728603,
PD263,PD263,Av. Vespucio / Av. José Arrieta,-33.4591357194,-70.5716874004,
PI342,PI342,Parada 1 / San Borja,-33.4517998307,-70.6810070056,
PD265,PD265,Alejandro Ríos / Av. Vespucio,-33.472342547,-70.5774738497,
PI344,PI344,Parada 4 / San Borja,-33.4515640934,-70.6818249158,
PD267,PD267,Las Madreselvas / Av. Vespucio,-33.4819866713,-70.5795051435,
PI610,PI610,Parada 3 / Estadio Santiago Bueras,-33.5100668753,-70.7472296268,
PD269,PD269,T. De Los Andes / Av. Vespucio,-33.4950310991,-70.584323927,
PD268,PD268,Peatones 3 / Av. Vespucio,-33.4916323655,-70.5822850103,
PI619,PI619,Grumete Quinteros / Héctor Fuenzalida,-33.5385974216,-70.7801799225,
PI618,PI618,Calderilla / Héctor Fuenzalida,-33.5363702926,-70.7769521864,
PF241,PF241,San Guillermo / Av. Eyzaguirre,-33.6166024105,-70.6093370694,
PC191,PC191,Parada 2 / Biblioteca Providencia,-33.4272804198,-70.6169658778,
PI842,PI842,Parada 12 / (M) Las Rejas,-33.4585016968,-70.7055959114,
PI843,PI843,Juan De Dios R. / Las Violetas,-33.4593082289,-70.7067721786,
PG408,PG408,Industria / Av. Vespucio,-33.5338626502,-70.6754868354,
PD348,PD348,Av. Salvador / Dublé Almeyda,-33.4541773884,-70.6207899791,
PI841,PI841,Parada 9 / (M) A. Hurtado,-33.4538657535,-70.6924364831,
PI846,PI846,Los Jazmines / Av. Aeropuerto,-33.461369075,-70.711870838,
PI847,PI847,Av. Las Parcelas / Av. Aeropuerto,-33.463413599,-70.7116273073,
PB1021,PB1021,C. Férreas / Roma,-33.3514637639,-70.7170549306,
PB1020,PB1020,Roma / Av. Lo Cruzat,-33.3513748977,-70.7204251859,
PB1023,PB1023,Lenga / Costaneras Férreas,-33.3538463901,-70.7148037958,
PB1022,PB1022,El Alerce / Costaneras Férreas,-33.3525866586,-70.7159699444,
PD1409,PD1409,Jorge Prieto / Av. Tobalaba,-33.5101248929,-70.5607010673,
PB1024,PB1024,Talca / Santa Fe,-33.3556256381,-70.7148403068,
PB1027,PB1027,Romeral / O'Higgins,-33.3508218389,-70.7288878686,
PB1026,PB1026,Av. Lo Cruzat / Salvador De Bahía,-33.3546422111,-70.72053558,
PB1029,PB1029,Panguilemu / Romeral,-33.3493071162,-70.7335132642,
PB1028,PB1028,Del Rodeo / Romeral,-33.3502629929,-70.7318695582,
PD1407,PD1407,Hacienda Macul / Av. Quilín,-33.4920982453,-70.572489561,
PD1406,PD1406,Av. Quilín Alt. 5700,-33.4936685484,-70.5695570001,
PD1401,PD1401,El Valle / Sánchez Fontecilla,-33.4797464325,-70.5571669777,
PD1400,PD1400,Camilo Mori / Sánchez Fontecilla,-33.4826886597,-70.5574407976,
PD1403,PD1403,Av. Las Parcelas / Quebrada De Suca,-33.4721601301,-70.5387380371,
PD1402,PD1402,Av. Grecia / Sánchez Fontecilla,-33.4739236715,-70.5544699975,
PH566,PH566,Buenaventura / Maipú,-33.5086550389,-70.6859753365,
PH567,PH567,Melinka / Club Hípico,-33.5054896481,-70.6769435144,
PH564,PH564,Maipú / Acapulco,-33.5131074763,-70.6879003946,
PH565,PH565,6 Sur / Maipú,-33.5111002909,-70.6872075146,
PH562,PH562,Pdte. Allende / Santa Anita,-33.5161759135,-70.6874745534,
PH563,PH563,Acapulco / Santa Anita,-33.5139463135,-70.6862803866,
PH560,PH560,El Caribe / Santa Anita,-33.5202563309,-70.6894320435,
